day,regionP,time,onVolume,offVolume
0,0,0,2015,2752
0,0,1,1951,2104
0,0,2,1488,1543
0,0,3,836,793
0,0,4,820,751
0,0,5,1330,1415
0,0,6,1630,1918
0,0,7,3009,3274
0,0,8,3770,3988
0,0,9,3652,3888
0,0,10,4039,4104
0,0,11,4047,4343
0,0,12,4075,4287
0,0,13,4153,4290
0,0,14,3756,3857
0,0,15,2874,2958
0,0,16,2559,2713
0,0,17,2900,3209
0,0,18,3799,4008
0,0,19,4489,4881
0,0,20,4314,4953
0,0,21,3896,4310
0,0,22,3490,4053
0,0,23,2955,2779
0,1,0,2840,3434
0,1,1,2817,2810
0,1,2,2930,2956
0,1,3,1478,1483
0,1,4,1118,1078
0,1,5,1817,1644
0,1,6,1712,2414
0,1,7,2443,3304
0,1,8,2818,3192
0,1,9,2696,2788
0,1,10,2806,2839
0,1,11,2975,3008
0,1,12,3204,3287
0,1,13,3237,3389
0,1,14,3310,3231
0,1,15,3599,3549
0,1,16,3412,3636
0,1,17,3548,3759
0,1,18,3863,3634
0,1,19,4043,3693
0,1,20,4089,3870
0,1,21,4309,3973
0,1,22,4607,3901
0,1,23,3965,3087
0,2,0,1455,1578
0,2,1,1292,1175
0,2,2,950,814
0,2,3,628,457
0,2,4,381,320
0,2,5,433,610
0,2,6,494,995
0,2,7,779,1035
0,2,8,1254,1254
0,2,9,1535,1469
0,2,10,1661,1570
0,2,11,1756,1674
0,2,12,1612,1655
0,2,13,1772,1827
0,2,14,1745,1717
0,2,15,1704,1595
0,2,16,1452,1437
0,2,17,1494,1586
0,2,18,1927,1887
0,2,19,2207,2017
0,2,20,2175,2143
0,2,21,2679,2602
0,2,22,2871,2529
0,2,23,2307,1653
0,3,0,788,737
0,3,1,841,585
0,3,2,829,610
0,3,3,377,308
0,3,4,303,314
0,3,5,691,655
0,3,6,1553,931
0,3,7,1918,1460
0,3,8,2127,2031
0,3,9,1903,1794
0,3,10,1966,1864
0,3,11,1765,1701
0,3,12,1925,1734
0,3,13,1880,1800
0,3,14,1802,1576
0,3,15,1769,1468
0,3,16,1689,1567
0,3,17,1690,1805
0,3,18,1540,1579
0,3,19,1390,1389
0,3,20,1360,1389
0,3,21,1358,1289
0,3,22,1376,1314
0,3,23,1350,954
0,4,0,1259,1592
0,4,1,1193,1281
0,4,2,966,1136
0,4,3,558,820
0,4,4,363,566
0,4,5,394,656
0,4,6,601,854
0,4,7,995,1389
0,4,8,1292,1525
0,4,9,1335,1438
0,4,10,1460,1527
0,4,11,1573,1536
0,4,12,1616,1637
0,4,13,1644,1787
0,4,14,1621,1476
0,4,15,1450,1408
0,4,16,1307,1331
0,4,17,1318,1363
0,4,18,1704,1614
0,4,19,1935,1791
0,4,20,2056,1940
0,4,21,2069,1990
0,4,22,1968,1925
0,4,23,1617,1309
0,5,0,893,999
0,5,1,725,566
0,5,2,506,392
0,5,3,251,186
0,5,4,194,152
0,5,5,416,477
0,5,6,741,575
0,5,7,1185,1080
0,5,8,2082,1876
0,5,9,2406,2162
0,5,10,2382,2074
0,5,11,2206,1988
0,5,12,2091,1987
0,5,13,2071,2019
0,5,14,1961,1854
0,5,15,1772,1741
0,5,16,1497,1406
0,5,17,1732,1739
0,5,18,2122,1912
0,5,19,2134,1983
0,5,20,1940,1899
0,5,21,2152,2031
0,5,22,1933,1701
0,5,23,1484,1133
1,0,0,2052,2805
1,0,1,1904,1982
1,0,2,1493,1647
1,0,3,820,801
1,0,4,819,762
1,0,5,1541,2049
